year,session,code,unit,max_mark,UMS_100,A*,A,B,C,D,E
2025,January,FM02,FURTHER MATHS UNIT 2 (FPSM1),80,79,,63,55,47,39,31
2025,January,FM03,FURTHER MATHS UNIT 3 (FP2),120,112,102,92,79,67,55,43
2025,January,FM04,FURTHER MATHS UNIT 4 (FS2),80,,71,62,53,44,35,27
2025,January,FM05,FURTHER MATHS UNIT 5 (FM2),80,77,69,61,53,45,37,30
2025,January,GG01A,GEOGRAPHY UNIT 1 OPTION A,80,62,,50,44,38,32,26
2025,January,GG01B,GEOGRAPHY UNIT 1 OPTION B,80,64,,50,43,37,31,25
2025,January,GG02,GEOGRAPHY UNIT 2,80,62,,50,44,38,32,26
2025,January,GG03,GEOGRAPHY UNIT 3,80,64,57,50,43,36,30,24
2025,January,GG04,GEOGRAPHY UNIT 4,80,64,57,50,43,36,30,24
2025,January,GG05,GEOGRAPHY UNIT 5,60,55,49,43,37,31,25,20
2025,January,LT01,ENGLISH LITERATURE UNIT 1,50,43,,33,28,23,18,14
2025,January,LT02,ENGLISH LITERATURE UNIT 2,50,44,,34,29,24,19,15
2025,January,LT03,ENGLISH LITERATURE UNIT 3,50,46,41,36,31,26,21,17
2025,January,LT04A,ENGLISH LITERATURE UNIT 4A,50,39,35,31,27,23,19,16
2025,January,MA01,MATHS UNIT 1 (P1),80,78,,60,51,43,35,27
2025,January,MA02,MATHS UNIT 2 (PSM1),80,78,,62,54,46,38,31
2025,January,MA03,MATHS UNIT 3 (P2),120,118,106,94,82,70,58,47
2025,January,MA04,MATHS UNIT 4 (S2),80,,72,64,56,48,40,33
2025,January,MA05,MATHS UNIT 5 (M2),80,78,70,62,54,46,38,31
2025,January,PH01,PHYSICS UNIT 1,80,64,,52,46,41,36,31
2025,January,PH02,PHYSICS UNIT 2,80,69,,55,48,42,36,30
2025,January,PH03,PHYSICS UNIT 3,80,74,67,60,53,47,41,35
2025,January,PH04,PHYSICS UNIT 4,80,70,64,58,52,46,40,34
2025,January,PH05,PHYSICS UNIT 5,80,65,59,53,47,41,35,29
2025,January,PS01,PSYCHOLOGY UNIT 1,90,77,,61,53,45,37,30
2025,January,PS02,PSYCHOLOGY UNIT 2,90,84,,66,57,48,40,32
2025,January,PS03,PSYCHOLOGY UNIT 3,90,85,76,67,58,50,42,34
2025,January,PS04,PSYCHOLOGY UNIT 4,90,83,74,65,56,47,39,31
2024,June,BL01,BIOLOGY UNIT 1,75,64,,52,46,41,36,31
2024,June,BL02,BIOLOGY UNIT 2,75,56,,46,41,36,31,26
2024,June,BL03,BIOLOGY UNIT 3,75,55,50,45,40,35,30,26
2024,June,BL04,BIOLOGY UNIT 4,75,61,55,49,43,38,33,28
2024,June,BL05,BIOLOGY UNIT 5,75,57,52,47,42,37,33,29
2024,June,BU01,BUSINESS UNIT 1,80,70,,56,49,42,35,28
2024,June,BU02,BUSINESS UNIT 2,80,67,,53,46,39,32,25
2024,June,BU03,BUSINESS UNIT 3,80,69,62,55,48,41,34,27
