year,session,code,subject,paper,max_mark,9,8,7,6,5,4,3,2,1,u
2021,Nov,8464,COMBINED SCIENCE: TRILOGY,B/1F,70,0,0,0,0,39,32,23,14,6,0
2021,Nov,8464,COMBINED SCIENCE: TRILOGY,B/1H,70,43,36,30,25,20,14,11,0,0,0
2021,Nov,8464,COMBINED SCIENCE: TRILOGY,B/2F,70,0,0,0,0,40,33,24,15,6,0
2021,Nov,8464,COMBINED SCIENCE: TRILOGY,B/2H,70,43,36,30,25,20,14,11,0,0,0
2021,Nov,8464,COMBINED SCIENCE: TRILOGY,C/1F,70,0,0,0,0,40,33,24,15,6,0
2021,Nov,8464,COMBINED SCIENCE: TRILOGY,C/1H,70,44,38,32,26,20,13,9,0,0,0
2021,Nov,8464,COMBINED SCIENCE: TRILOGY,C/2F,70,0,0,0,0,36,28,21,14,7,0
2021,Nov,8464,COMBINED SCIENCE: TRILOGY,C/2H,70,42,35,28,22,16,10,7,0,0,0
2021,Nov,8464,COMBINED SCIENCE: TRILOGY,P/1F,70,0,0,0,0,40,33,24,15,7,0
2021,Nov,8464,COMBINED SCIENCE: TRILOGY,P/1H,70,43,36,30,24,18,11,7,0,0,0
2021,Nov,8464,COMBINED SCIENCE: TRILOGY,P/2F,70,0,0,0,0,36,28,21,14,7,0
2021,Nov,8464,COMBINED SCIENCE: TRILOGY,P/2H,70,44,37,31,25,19,12,8,0,0,0
2021,Nov,8465,COMBINED SCIENCE: SYNERGY,1F,100,0,0,0,0,53,42,31,20,9,0
2021,Nov,8465,COMBINED SCIENCE: SYNERGY,1H,100,65,53,42,35,28,20,16,0,0,0
2021,Nov,8465,COMBINED SCIENCE: SYNERGY,2F,100,0,0,0,0,57,48,35,22,10,0
2021,Nov,8465,COMBINED SCIENCE: SYNERGY,2H,100,65,53,42,35,28,20,16,0,0,0
2021,Nov,8465,COMBINED SCIENCE: SYNERGY,3F,100,0,0,0,0,56,46,34,22,10,0
2021,Nov,8465,COMBINED SCIENCE: SYNERGY,3H,100,63,51,39,31,23,14,9,0,0,0
2021,Nov,8465,COMBINED SCIENCE: SYNERGY,4F,100,0,0,0,0,58,49,36,23,11,0
2021,Nov,8465,COMBINED SCIENCE: SYNERGY,4H,100,65,53,42,34,26,19,15,0,0,0
2021,Nov,8520,COMPUTER SCIENCE,1,80,68,61,54,46,38,29,22,15,8,0
2021,Nov,8520,COMPUTER SCIENCE,2,80,67,58,50,42,34,26,19,13,7,0
2021,Nov,8552,DESIGN AND TECHNOLOGY,W,100,75,67,60,51,42,34,24,15,6,0
2021,Nov,8572,MEDIA STUDIES,1,84,55,51,48,40,32,24,17,10,4,0
2021,Nov,8572,MEDIA STUDIES,2,84,55,51,48,40,32,24,17,10,4,0
2021,Nov,8582,PHYSICAL EDUCATION,1,78,47,45,43,37,31,24,17,11,5,0
2021,Nov,8582,PHYSICAL EDUCATION,2,78,50,48,47,41,35,30,22,14,6,0
2021,Nov,8585,FOOD PREPARATION AND NUTRITION,W,100,79,70,61,52,43,35,27,19,11,0
2021,Nov,8633,ITALIAN,LF,40,0,0,0,0,21,18,12,7,2,0
2021,Nov,8633,ITALIAN,LF,60,0,0,0,0,31,27,19,11,3,0
2021,Nov,8633,ITALIAN,LH,50,38,30,23,19,15,11,9,0,0,0
2021,Nov,8633,ITALIAN,LH,60,46,37,28,23,18,13,10,0,0,0
2021,Nov,8633,ITALIAN,RF,60,0,0,0,0,31,27,19,11,3,0
2021,Nov,8633,ITALIAN,RH,60,46,37,28,24,20,17,15,0,0,0
2021,Nov,8633,ITALIAN,WF,50,0,0,0,0,27,23,16,9,3,0
2021,Nov,8633,ITALIAN,WF,60,0,0,0,0,32,28,20,12,4,0
2021,Nov,8633,ITALIAN,WH,60,49,42,35,30,25,20,17,0,0,0
2021,Nov,8638,BENGALI,LH,50,43,40,37,30,23,17,14,0,0,0
2021,Nov,8638,BENGALI,LH,60,51,47,44,36,28,20,16,0,0,0
2021,Nov,8638,BENGALI,RH,60,42,34,27,20,13,7,4,0,0,0
