year,session,code,unit,max_mark,a*,a,b,c,d,e,u
2025,Oct,WMA11,Unit 1A: Pure Mathematics 1,75,,59,51,44,37,30,0
2025,Oct,WMA12,Unit 2: Pure Mathematics 2,75,,54,47,40,34,28,0
2025,Oct,WMA12,Unit 2A: Pure Mathematics 2,75,,54,47,40,34,28,0
2025,Oct,WMA13,Unit 3: Pure Mathematics 3,75,63,57,51,45,39,34,0
2025,Oct,WMA13,Unit 3A: Pure Mathematics 3,75,65,59,53,47,41,36,0
2025,Oct,WMA14,Unit 4: Pure Mathematics 4,75,67,59,51,43,36,29,0
2025,Oct,WMA14,Unit 4A: Pure Mathematics 4,75,69,63,55,47,39,32,0
2025,Oct,WME01,Unit 1: Mechanics 1,75,,61,53,45,37,30,0
2025,Oct,WME01,Unit 1A: Mechanics 1,75,,61,53,45,37,30,0
2025,Oct,WME02,Unit 2: Mechanics 2,75,68,62,54,47,40,33,0
2025,Oct,WME02,Unit 2A: Mechanics 2,75,68,62,54,47,40,33,0
2025,Oct,WPH11,Unit 1: Mechanics and Materials,80,,59,52,46,40,34,0
2025,Oct,WPH11,Unit 1A: Mechanics and Materials,80,,59,52,46,40,34,0
2025,Oct,WPH12,Unit 2: Waves and Electricity,80,,58,51,44,37,31,0
2025,Oct,WPH12,Unit 2A: Waves and Electricity,80,,60,53,46,39,32,0
2025,Oct,WPH13,Unit 3: Practical Skills in Physics I,50,,37,33,29,25,22,0
2025,Oct,WPH13,Unit 3A: Practical Skills in Physics I,50,,39,35,31,28,25,0
2025,Oct,WPH14,"Unit 4: Further Mechanics, Fields and Particles",90,80,71,62,54,46,38,0
2025,Oct,WPH14,"Unit 4A: Further Mechanics, Fields and Particles",90,82,74,66,58,50,42,0
2025,Oct,WPH15,"Unit 5: Thermodynamics, Radiation, Oscillations and Cosmology",90,79,71,63,55,47,39,0
2025,Oct,WPH15,"Unit 5A: Thermodynamics, Radiation, Oscillations and Cosmology",90,79,71,63,55,47,39,0
2025,Oct,WPH16,Unit 6: Practical Skills in Physics II,50,43,38,33,28,23,19,0
2025,Oct,WPH16,Unit 6A: Practical Skills in Physics II,50,43,38,33,28,23,19,0
2025,Oct,WST01,Unit 1: Statistics 1,75,,66,56,46,36,27,0
2025,Oct,WST01,Unit 1A: Statistics 1,75,,62,53,44,35,27,0
2025,Oct,WST02,Unit 2: Statistics 2,75,67,60,51,43,35,27,0
2025,Oct,WST02,Unit 2A: Statistics 2,75,70,65,56,47,38,30,0
2025,Jun,WAA01,Unit 1: Understanding and Written Response,80,,51,42,34,26,18,0
2025,Jun,WAA02,Unit 2: Writing and Research,80,63,53,43,34,25,16,0
2025,Jun,WAC11,Unit 1: The Accounting System and Costing,200,,153,132,111,91,71,0
2025,Jun,WAC12,Unit 2: Corporate and Management Accounting,200,176,157,138,119,100,82,0
2025,Jun,WBI11,"Unit 1: Molecules, Diet, Transport and Health",80,,54,48,42,36,30,0
2025,Jun,WBI12,"Unit 2: Cells, Development, Biodiversity and Conservation",80,,57,50,43,37,31,0
2025,Jun,WBI13,Unit 3: Practical Skills in Biology I,50,,38,33,28,23,19,0
2025,Jun,WBI14,"Unit 4: Energy, Environment, Microbiology and Immunity",90,61,55,49,44,39,34,0
2025,Jun,WBI15,"Unit 5: Respiration, Internal Environment, Coordination and Gene",90,67,60,53,47,41,35,0
2025,Jun,WBI16,Unit 6: Practical Skills in Biology II,50,43,38,33,29,25,21,0
2025,Jun,WBS11,Unit 1: Marketing and People,80,,57,52,47,42,37,0
2025,Jun,WBS12,Unit 2: Managing Business Activities,80,,55,50,45,40,36,0
2025,Jun,WBS13,Unit 3: Business Decisions And Strategy,80,49,45,41,37,33,29,0
2025,Jun,WBS14,Unit 4: Global Business,80,58,52,46,40,34,29,0
2025,Jun,WCH11,"Unit 1: Structure, Bonding and Introducttion to Organic Chemistry",80,,64,56,48,40,33,0
2025,Jun,WCH12,"Unit 2: Energetics, Group Chemistry, Halogenoalkanes and Alcohol",80,,60,52,44,36,29,0
2025,Jun,WCH13,Unit 3: Practical Skills in Chemistry I,50,,36,31,27,23,19,0
2025,Jun,WCH14,"Unit 4: Rates, Equilibria and Further Organic Chemistry",90,81,72,63,54,46,38,0
2025,Jun,WCH15,Unit 5: Transition Metals and Organic Nitrogen Chemistry,90,73,66,59,52,45,39,0
2025,Jun,WCH15,Unit 5A: Transition Metals and Organic Nitrogen Chemistry,90,73,66,59,52,45,39,0
2025,Jun,WCH16,Unit 6: Practical Skills in Chemistry II,50,39,35,31,27,24,21,0
2025,Jun,WDM11,Unit 1: Decision Mathematics 1,75,,63,57,51,45,39,0
2025,Jun,WEC11,Unit 1: Markets in Action,80,,59,53,47,41,36,0
2025,Jun,WEC12,Unit 2: Macroeconomic Performance and Policy,80,,58,53,48,43,38,0
2025,Jun,WEC13,Unit 3: Business Behaviour,80,59,54,49,44,39,34,0
