year,session,code,subject,paper,max_mark,9,8,7,6,5,4,3,2,1,u
2020,November,9230/3,GEOGRAPHY,PAPER 3,75,52,47,42,36,30,24,17,10,4,,0
2020,November,9270/1,ENGLISH LANGUAGE,PAPER 1,120,98,87,77,66,56,45,32,18,6,,0
2020,November,9270/2,ENGLISH LANGUAGE,PAPER 2,80,65,58,52,45,38,32,23,14,5,,0
2020,November,9270/P,ENGLISH LANGUAGE,NON-EXAM ASSESSMENT,80,67,60,53,45,37,31,23,15,7,,0
2020,November,9275/1,ENGLISH LITERATURE,PAPER 1,60,49,43,38,33,28,23,16,9,3,,0
2020,November,9275/2A,ENGLISH LITERATURE,PAPER 2A,90,75,67,59,50,42,34,24,14,5,,0
2020,November,9280/L,ENGLISH AS A SECOND LANGUAGE,PAPER 3: LISTENING,40,35,32,30,26,22,19,14,9,4,,0
2020,November,9280/R,ENGLISH AS A SECOND LANGUAGE,PAPER 2: READING,60,50,45,41,35,30,25,17,10,3,,0
2020,November,9280/S,ENGLISH AS A SECOND LANGUAGE,PAPER 4: SPEAKING,40,34,30,27,24,21,18,11,6,2,,0
2020,November,9280/W,ENGLISH AS A SECOND LANGUAGE,PAPER 1: WRITING,60,50,45,40,35,30,26,18,10,3,,0
2019,June,9201/1,BIOLOGY,PAPER 1,90,64,57,50,44,38,32,24,16,8,,0
2019,June,9201/2,BIOLOGY,PAPER 2,90,67,61,55,48,42,36,27,18,9,,0
2019,June,9202/1,CHEMISTRY,PAPER 1,90,70,63,56,48,40,33,25,17,10,,0
2019,June,9202/2,CHEMISTRY,PAPER 2,90,69,61,53,45,38,31,23,16,9,,0
2019,June,9203/1,PHYSICS,PAPER 1,90,68,61,54,47,40,33,25,18,11,,0
2019,June,9203/2,PHYSICS,PAPER 2,90,68,61,54,47,40,34,26,18,10,,0
2019,June,9210/1,COMPUTER SCIENCE,PAPER 1,80,66,58,50,43,36,29,22,15,8,,0
2019,June,9210/2,COMPUTER SCIENCE,PAPER 2,80,68,62,56,49,43,37,28,19,10,,0
2019,June,9225/1,BUSINESS,PAPER 1,90,77,70,63,55,47,40,29,19,9,,0
2019,June,9225/2,BUSINESS,PAPER 2,90,77,70,63,56,50,44,32,20,9,,0
2019,June,9270/1,ENGLISH LANGUAGE,PAPER 1,120,101,90,81,71,60,51,38,24,12,,0
2019,June,9270/2,ENGLISH LANGUAGE,PAPER 2,80,67,60,54,48,42,36,26,17,8,,0
2019,June,9270/P,ENGLISH LANGUAGE,COURSEWORK PROJECT,80,68,61,55,48,41,35,25,17,9,,0
2019,June,9275/1,ENGLISH LITERATURE,PAPER 1,60,51,45,40,35,30,26,19,12,6,,0
2019,June,9275/2A,ENGLISH LITERATURE,PAPER 2A,90,77,69,61,53,45,38,28,18,9,,0
2019,June,9275/2B,ENGLISH LITERATURE,PAPER 2B,60,52,47,42,36,30,25,18,12,6,,0
2019,June,9275/C,ENGLISH LITERATURE,B NON-EXAM ASSESSMENT,30,26,23,21,18,15,13,9,6,3,,0
2019,June,9280/L,ENGLISH AS A SECOND LANGUAGE,PAPER 3: LISTENING,40,36,33,31,28,25,22,16,11,6,,0
2019,June,9280/R,ENGLISH AS A SECOND LANGUAGE,PAPER 2: READING,60,52,47,43,38,33,29,21,13,6,,0
2019,June,9280/S,ENGLISH AS A SECOND LANGUAGE,PAPER 4: SPEAKING,40,35,32,29,26,23,21,15,9,4,,0
2019,June,9280/W,ENGLISH AS A SECOND LANGUAGE,PAPER 1: WRITING,60,51,46,42,38,34,31,22,14,6,,0
2019,November,9201/1,BIOLOGY,PAPER 1,90,64,57,50,44,38,32,24,16,8,,0
2019,November,9201/2,BIOLOGY,PAPER 2,90,67,61,55,48,42,36,27,18,9,,0
2019,November,9202/1,CHEMISTRY,PAPER 1,90,70,63,56,48,40,33,25,17,10,,0
2019,November,9202/2,CHEMISTRY,PAPER 2,90,69,61,53,45,38,31,23,16,9,,0
2019,November,9203/1,PHYSICS,PAPER 1,90,68,61,54,47,40,33,25,18,11,,0
2019,November,9203/2,PHYSICS,PAPER 2,90,68,61,54,47,40,34,26,18,10,,0
2019,November,9225/1,BUSINESS,PAPER 1,90,77,70,63,55,47,40,29,19,9,,0
2019,November,9225/2,BUSINESS,PAPER 2,90,77,70,63,56,50,44,32,20,9,,0
2019,November,9270/1,ENGLISH LANGUAGE,PAPER 1,120,101,90,81,71,60,51,38,24,12,,0
2019,November,9270/2,ENGLISH LANGUAGE,PAPER 2,80,67,60,54,48,42,36,26,17,8,,0
2019,November,9270/P,ENGLISH LANGUAGE,NON-EXAM ASSESSMENT,80,68,61,55,48,41,35,25,17,9,,0
2019,November,9275/1,ENGLISH LITERATURE,PAPER 1,60,51,45,40,35,30,26,19,12,6,,0
2019,November,9275/2A,ENGLISH LITERATURE,PAPER 2A,90,76,68,61,53,45,38,28,18,9,,0
2019,November,9275/2B,ENGLISH LITERATURE,PAPER 2B,60,52,47,42,36,30,25,18,12,6,,0
2019,November,9275/C,ENGLISH LITERATURE,B NON-EXAM ASSESSMENT,30,26,23,21,18,15,13,9,6,3,,0
2019,November,9280/L,ENGLISH AS A SECOND LANGUAGE,PAPER 3: LISTENING,40,36,33,31,28,25,22,16,11,6,,0
2019,November,9280/R,ENGLISH AS A SECOND LANGUAGE,PAPER 2: READING,60,52,47,43,38,33,29,21,13,6,,0
2019,November,9280/S,ENGLISH AS A SECOND LANGUAGE,PAPER 4: SPEAKING,40,35,32,29,26,23,21,15,9,4,,0
2019,November,9280/W,ENGLISH AS A SECOND LANGUAGE,PAPER 1: WRITING,60,51,46,42,38,34,31,22,14,6,,0
2018,June,9201/1,BIOLOGY,PAPER 1,90,75,67,59,51,44,37,27,18,9,,0
2018,June,9201/2,BIOLOGY,PAPER 2,90,74,65,57,50,43,37,28,19,11,,0
2018,June,9202/1,CHEMISTRY,PAPER 1,90,77,70,63,55,47,40,30,20,10,,0
